Satisfaction,Observation,5ghi,2ghi,5gcm,5gcs,Alph,Acppc,Tobl,Blp10al,Macppc,Po5co5,Rmph,Rsph,Stco,Trcpc,Tume,Umempd,Umegmpd,Waps,War,Eain,Eaua,strn
Satisfied,836,No,No,0,0,25668,2,4.2,1.64,3,No,1,0,7,6,0,0,0,676.5,5412,9,8,No
Unsatisfied,837,No,No,0,0,11804,1.5,3.21,2.72,3,No,1,0,9,3,0,0,0,294,2940,5,6,No
Satisfied,838,No,No,0,0,27612,1.25,0.22,0.08,2,No,1,0,10,5,0,0,0,1189.73,13087,7,Don't know,Yes
Satisfied,839,No,No,0,0,1629,0.33,0,0,1,No,1,0,3,1,0,0,0,1515.25,6061,8,Don't know,No
Satisfied,840,Yes,No,0,0,3207,1,4.58,14.28,2,No,1,0,8,3,0,0,0,319.78,2878,6,6,Yes
Satisfied,841,No,No,0,0,,1.33,,,2,No,1,0,4,4,0,0,0,252.2,1261,7,Don't know,No
Somewhat Satisfied,842,No,No,0,0,474,0.33,0,0,1,No,1,0,6,1,0,0,0,117.43,822,,,No
Satisfied,843,No,No,0,0,8496,2,0.81,0.95,2,Yes,1,0,8,2,0,0,0,7.44,67,8,8,Yes
Somewhat Satisfied,844,No,No,0,0,18951,2,8.5,4.49,5,No,1,0,14,6,0,0,0,213.4,3201,,,No
Somewhat Satisfied,845,No,No,0,0,6606,1,1.23,1.86,2,No,1,0,8,3,0,0,0,1357.56,12218,0,0,No
Satisfied,846,No,No,0,0,4871,3,2.66,5.45,3,Yes,1,0,10,3,0,0,0,155.82,1714,6,6,No
Somewhat Satisfied,847,No,No,0,0,18450,0.67,16.4,8.89,1,No,1,0,7,2,0,0,0,75.88,607,,,No
Satisfied,848,Yes,No,0,0,25074,3.67,8.69,3.47,7,Yes,1,0,17,11,0,0,0,75.44,1358,5,2,No
Somewhat Satisfied,849,No,No,3,3,2915,3,0.09,0.32,3,No,1,0,3,3,0,0,0,5.5,22,Don't know,Don't know,No
Satisfied,850,No,No,0,0,18396,2.67,7.88,4.28,6,No,1,0,13,8,0,0,0,1045.57,14638,8,7,No
Satisfied,851,No,No,0,0,,1.67,,,3,Yes,1,0,4,5,0,0,0,,,9,Don't know,No
Satisfied,852,No,No,0,0,21186,0.67,73.47,34.68,2,No,1,0,11,2,0,0,0,1.42,17,6,5,No
Satisfied,853,No,No,0,0,8877,1.33,3,3.38,3,No,1,0,8,4,0,0,0,359,3231,9,9,No
