Satisfaction,Observation,5ghi,2ghi,5gcm,5gcs,Alph,Acppc,Tobl,Blp10al,Macppc,Po5co5,Rmph,Rsph,Stco,Trcpc,Tume,Umempd,Umegmpd,Waps,War,Eain,Eaua,strn
Satisfied,129,No,No,0,0,21980,0.5,3.6,1.64,1,No,3-Feb,3,9,2,3,1,1,81.8,818,0,5,Yes
Satisfied,130,Yes,No,0,0,27738,1,21.43,7.73,2,No,3-Feb,2,14,3,8,4,3,129,1935,9,8,No
Unsatisfied,131,Yes,No,0,0,40857,3.67,39.9,9.77,7,Yes,3-Feb,1,14,11,0,0,0,497.13,7457,7,Don't know,No
Unsatisfied,132,No,No,2,5,12657,0.67,0,0,2,No,3-Feb,3,7,2,0,0,0,696.63,5573,0,1,No
Unsatisfied,133,No,Yes,2,4,75378,1,226.68,30.07,2,No,3-Feb,4,16,3,2,1,1,80.88,1375,7,Don't know,Yes
Somewhat Satisfied,134,No,No,0,0,102879,4,2.01,0.2,7,No,3-Feb,1,17,12,0,0,0,1477.17,26589,8,8,Yes
Somewhat Satisfied,135,No,No,0,0,28095,2.33,1.01,0.36,3,No,3-Feb,1,13,7,0,0,0,233.07,3263,10,10,No
Unsatisfied,136,No,No,0,0,26370,3,5.59,2.12,5,Yes,3-Feb,2,14,9,0,0,0,2294.6,34419,0,0,No
Satisfied,137,No,No,1,3,25947,2.67,10.97,4.23,3,No,3-Feb,1,16,8,0,0,0,662.53,11263,4,Don't know,No
Somewhat Satisfied,138,Yes,No,0,0,7665,0.67,14.47,18.88,2,No,3-Feb,2,5,2,2,1,1,405.83,2435,8,1,No
Satisfied,139,No,No,0,0,87675,2,4.41,0.5,5,No,3-Feb,2,18,6,0,0,0,45,855,1,3,Yes
Somewhat Satisfied,140,No,No,0,0,9240,1.33,0.27,0.29,4,No,3-Feb,6,6,4,0,0,0,27.57,193,5,7,Yes
Satisfied,141,Yes,No,0,0,32445,2,11.28,3.48,3,Yes,3-Feb,1,16,6,0,0,0,93.24,1585,8,8,Yes
Somewhat Satisfied,142,No,No,0,0,1680,2,0.46,2.72,3,Yes,3-Feb,2,5,6,0,0,0,303.83,1823,6,5,No
Unsatisfied,143,,,,,,,,,,No,3-Feb,15,,,0,0,0,9841,9841,1,0,No
Unsatisfied,144,Yes,Yes,0,0,17175,2.33,6.75,3.93,6,Yes,3-Feb,2,13,7,32,17,3,464.64,6505,4,0,Yes
Somewhat Satisfied,145,No,No,0,0,19869,2,41.92,21.1,6,No,3-Feb,4,17,6,0,0,0,485.61,8741,3,6,Yes
Somewhat Satisfied,146,Yes,No,2,5,12981,1.67,11.92,9.18,4,No,3-Feb,1,10,5,0,0,0,57.73,635,,,No
Somewhat Satisfied,147,No,No,0,0,22182,1,1.24,0.56,3,Yes,3-Feb,1,13,3,6,3,3,721.29,10098,6,8,No
Unsatisfied,148,No,No,2,6,25773,2.67,3.97,1.54,5,Yes,3-Feb,1,14,8,2,1,1,57.8,867,7,3,Yes
Unsatisfied,149,No,No,0,0,,0,,,0,No,3-Feb,15,0,0,0,0,0,9841,9841,2,1,No
Unsatisfied,150,No,No,0,0,91413,1.67,115.14,12.6,4,No,3-Feb,2,21,5,0,0,0,832.45,18314,3,3,Yes
Satisfied,151,No,No,0,0,29250,0.67,3.64,1.25,1,No,3-Feb,1,12,2,0,0,0,2796.38,36353,10,Don't know,Yes
Unsatisfied,152,No,No,0,0,47778,0.67,18.63,3.9,2,No,3-Feb,2,23,2,2,1,1,1782.88,42789,0,0,Yes
Satisfied,153,No,No,0,0,30249,1,3.51,1.16,3,No,3-Feb,5,10,3,6,4,3,1634.64,17981,7,4,Yes
Satisfied,154,No,No,0,0,14109,1.67,13.07,9.27,3,Yes,3-Feb,3,9,5,0,0,0,92.9,929,6,7,Yes
Unsatisfied,155,No,Yes,0,0,7668,6,3.52,4.59,6,No,3-Feb,1,11,12,2,2,2,400.92,4811,2,Don't know,No
Satisfied,156,No,No,0,0,8973,0.33,0.23,0.25,1,No,3-Feb,1,4,1,0,0,0,846,4230,8,9,No
Satisfied,157,No,No,0,0,7389,0.67,1.38,1.87,1,No,3-Feb,1,5,2,0,0,0,87.67,526,1,1,Yes
Satisfied,158,No,No,0,0,37408,2.25,17.49,4.68,4,No,3-Feb,2,22,9,0,0,0,270.04,6211,10,10,Yes
Unsatisfied,159,No,No,0,0,2662,3,1.02,3.83,3,Yes,3-Feb,16,12,3,0,0,0,871.23,11326,0,0,No
Unsatisfied,160,No,No,0,0,61470,1.8,12.68,2.06,9,No,3-Feb,2,21,9,4,1,1,4120.27,90646,6,9,Yes
Unsatisfied,161,No,No,0,0,46437,0.33,103.89,22.37,1,No,3-Feb,4,13,1,0,0,0,105.36,1475,5,7,Yes
Satisfied,162,Yes,No,0,0,31140,2,21.37,6.86,4,No,3-Feb,3,10,6,2,2,2,90.27,993,8,7,No
Somewhat Satisfied,163,No,No,0,0,52554,2.67,20.82,3.96,4,No,3-Feb,1,25,8,0,0,0,258.77,6728,0,3,Yes
Satisfied,164,No,No,0,0,30825,2,4.72,1.53,6,Yes,3-Feb,1,27,6,0,0,0,70.57,1976,7,8,Yes
Satisfied,165,No,No,0,0,55599,1,60,10.79,2,No,3-Feb,4,11,3,0,0,0,83.5,1002,5,9,No
Unsatisfied,166,No,No,0,0,41391,1.33,0,0,2,No,3-Feb,3,9,4,2,1,1,82.9,829,0,0,Yes
Unsatisfied,167,No,No,0,0,20835,1,0.86,0.41,2,No,3-Feb,1,14,3,0,0,0,245.87,3688,4,8,No
Satisfied,168,No,No,0,0,10724,0.25,16.86,15.72,1,No,3-Feb,5,5,1,6,3,3,1960.17,11761,5,5,No
Unsatisfied,169,No,No,0,0,11676,5,0.97,0.83,10,Yes,3-Feb,15,14,10,0,0,0,830.07,12451,2,4,No
Unsatisfied,170,Yes,No,4+,52,3360,0.75,0.8,2.37,2,No,3-Feb,1,8,3,30,11,3,343.22,3089,0,1,Yes
Somewhat Satisfied,171,No,No,2,5,33303,2,0.22,0.07,5,Yes,3-Feb,1,12,6,2,1,1,951.08,12364,4,Don't know,Yes
Unsatisfied,172,Yes,No,0,0,39684,2.67,31.88,8.03,6,No,3-Feb,1,22,8,2,1,1,68.87,1584,3,8,Yes
Unsatisfied,173,No,No,0,0,20490,3,193.69,94.52,5,No,3-Feb,1,18,6,0,0,0,127,2413,1,3,No
Satisfied,174,No,No,0,0,6577,4,3.93,5.97,4,Yes,3-Feb,2,8,4,0,0,0,5.44,49,10,10,No
Satisfied,175,No,No,0,0,73386,1.17,1.66,0.23,4,Yes,3-Feb,4,13,7,0,0,0,35.07,491,3,9,Yes
Satisfied,176,No,No,0,0,37113,2.67,6.23,1.68,6,No,3-Feb,1,12,8,5,3,3,2498.69,32483,5,0,Yes
Satisfied,177,No,No,0,0,16767,0.67,0.66,0.39,1,No,3-Feb,1,15,2,4,2,2,104.44,1671,6,8,Yes
Somewhat Satisfied,178,No,No,0,0,16293,0.67,15.11,9.28,1,No,3-Feb,2,14,2,1,1,1,262.6,3939,3,5,Yes
Unsatisfied,179,No,No,1,3,5400,0.67,0.07,0.14,2,No,3-Feb,2,11,2,1,1,1,401.25,4815,3,5,No
Satisfied,180,No,No,0,0,1167,0.67,1.28,10.98,2,No,3-Feb,1,4,2,0,0,0,7.6,38,5,10,No
Unsatisfied,181,Yes,No,2,6,30411,3,60.63,19.94,5,No,3-Feb,1,15,9,67,34,3,2862.13,45794,10,5,Yes
Somewhat Satisfied,182,Yes,No,0,0,5100,0.33,4.35,8.52,1,No,3-Feb,1,6,1,0,0,0,70.43,493,Don't know,0,No
Satisfied,183,No,No,0,0,30759,1.67,14.48,4.71,3,No,3-Feb,2,13,5,0,0,0,208.21,2915,0,8,Yes
Unsatisfied,184,No,No,0,0,32142,2.67,124.18,38.63,4,No,3-Feb,1,16,8,2,1,1,5699.47,96891,5,5,Yes
Satisfied,185,No,No,0,0,8334,1,0,0,2,No,3-Feb,1,6,3,0,0,0,26.71,187,8,10,No
Satisfied,186,No,No,0,0,4341,1,0,0,2,No,3-Feb,2,4,3,0,0,0,651.6,3258,8,9,No
Somewhat Satisfied,187,No,No,3,5,9465,1.67,31.12,32.87,3,No,3-Feb,2,9,5,0,0,0,97.9,979,5,7,Yes
Unsatisfied,188,No,Yes,0,0,86798,5,408.81,47.1,7,No,3-Feb,15,27,10,1,1,1,538.75,15085,8,7,Yes
Satisfied,189,No,No,0,0,18648,1.67,1.33,0.71,3,No,3-Feb,5,7,5,0,0,0,95,760,1,8,No
Satisfied,190,Yes,No,0,0,58446,2.33,97.87,16.75,6,No,3-Feb,1,15,7,2,1,1,297.81,4765,9,9,Yes
Unsatisfied,191,No,No,0,0,26238,1,5.28,2.01,3,No,3-Feb,2,7,3,4,2,2,431.88,3455,6,8,Yes
Somewhat Satisfied,192,No,No,0,0,43064,1.25,16.08,3.73,2,No,3-Feb,4,14,5,2,2,2,976.27,14644,,,No
Unsatisfied,193,Yes,No,0,0,18483,1.33,381.45,206.37,4,No,3-Feb,6,18,4,34,18,3,195.37,3712,2,Don't know,Yes
Satisfied,194,No,Yes,0,0,12876,0.33,8.32,6.46,1,No,3-Feb,2,7,1,0,0,0,569,4552,10,Don't know,Yes
Somewhat Satisfied,195,No,No,0,0,61380,1.5,23.05,3.76,3,No,3-Feb,2,13,6,0,0,0,533.29,7466,3,3,Yes
Satisfied,196,Yes,Yes,2,6,14373,3.67,46.6,32.42,4,Yes,3-Feb,6,9,11,0,0,0,417.7,4177,6,10,No
Unsatisfied,197,No,No,0,0,3952,2,0.77,1.94,2,No,3-Feb,3,8,2,0,0,0,21.11,190,2,3,Yes
Satisfied,198,No,No,0,0,26028,1.25,0.95,0.37,4,No,3-Feb,1,10,5,2,1,1,103.36,1137,5,10,No
Unsatisfied,199,Yes,No,3,5,13124,2,23.54,17.94,2,No,3-Feb,1,13,4,1,1,1,149.57,2094,6,5,Yes
Satisfied,200,No,No,0,0,27164,1,3.22,1.19,2,No,3-Feb,1,11,4,0,0,0,65.17,782,8,7,No
Unsatisfied,201,No,Yes,0,0,56226,1,22.82,4.06,3,No,3-Feb,1,13,3,0,0,0,0,0,6,,Yes
Satisfied,202,Yes,No,0,0,3345,0.67,0,0,2,No,3-Feb,16,4,2,0,0,0,2293.6,11468,8,8,No
Unsatisfied,203,No,No,0,0,51234,4.33,16.28,3.18,12,Yes,3-Feb,4,23,13,0,0,0,1730,41520,5,5,Yes
Somewhat Satisfied,204,No,No,0,0,9244,5,0.03,0.03,5,No,3-Feb,15,23,5,0,0,0,438.75,10530,0,0,Yes
Somewhat Satisfied,205,No,No,0,0,27327,2.67,32.54,11.91,5,No,3-Feb,1,10,8,1,1,1,1386.55,15252,2,5,Yes
Somewhat Satisfied,206,,,,,,,,,,No,3-Feb,15,,,0,0,0,9841,9841,6,Don't know,No
Unsatisfied,207,No,No,0,0,15435,2.33,13.11,8.49,6,Yes,3-Feb,3,19,7,4,2,2,7319.5,146390,4,9,No
Satisfied,208,No,No,0,0,32157,2.33,2.36,0.73,6,No,3-Feb,4,14,7,0,0,0,338.53,5078,8,7,No
Unsatisfied,209,No,No,0,0,10782,0,0.3,0.28,0,No,3-Feb,1,5,0,0,0,0,1290.33,7742,8,5,No
Unsatisfied,210,No,No,0,0,10533,2,3.29,3.13,5,No,3-Feb,2,12,6,0,0,0,223.92,2911,0,0,No
Somewhat Satisfied,211,Yes,No,0,0,3038,0.33,6.31,20.76,1,No,3-Feb,2,6,1,0,0,0,574.14,4019,,,No
Somewhat Satisfied,212,No,No,2,11,22464,0.17,0.5,0.22,1,No,3-Feb,5,7,1,6,4,3,1050.88,8407,,,No
Unsatisfied,213,No,No,4+,9,13146,1.33,4.69,3.57,4,Yes,3-Feb,2,9,4,1,1,1,19.7,197,10,10,No
Unsatisfied,214,No,No,1,1,,0,,,0,No,3-Feb,17,0,0,0,0,0,9841,9841,0,0,No
Satisfied,215,No,No,0,0,4335,0.67,2.37,5.46,1,No,3-Feb,1,5,2,0,0,0,1159.17,6955,5,4,Yes
Satisfied,216,No,No,0,0,23838,1.33,0.68,0.29,4,Yes,3-Feb,3,15,4,0,0,0,58.75,940,7,7,Yes
Unsatisfied,217,No,No,0,0,52131,4,21.64,4.15,11,No,3-Feb,1,18,12,0,0,0,10.21,194,8,8,No
Somewhat Satisfied,218,No,No,0,0,27152,0,5.28,1.94,0,No,3-Feb,1,9,0,3,1,1,5203.8,52038,5,Don't know,Yes
Unsatisfied,219,Yes,No,0,0,34762,5,62.5,17.98,8,Yes,3-Feb,1,14,15,0,0,0,1205.2,18078,2,0,Yes
Somewhat Satisfied,220,,,,,,,,,,No,3-Feb,15,,,0,0,0,9841,9841,Don't know,Don't know,No
Satisfied,221,No,No,0,0,7254,1,4.41,6.07,3,No,3-Feb,15,7,3,1,1,1,2309.38,18475,6,6,No
Somewhat Satisfied,222,No,No,1,2,16415,0,5.29,3.22,0,No,3-Feb,16,2,0,2,2,2,3345.67,10037,,,Yes
Satisfied,223,No,No,0,0,8739,0.67,0,0,2,No,3-Feb,5,4,2,0,0,0,172.6,863,4,Don't know,No
Unsatisfied,224,No,No,1,1,12015,5,12.7,10.57,9,Yes,3-Feb,1,16,15,2,2,2,343.06,5832,2,8,No
Satisfied,225,No,No,1,2,29376,1.33,7.73,2.63,4,Yes,3-Feb,3,19,4,0,0,0,98.25,1965,7,5,Yes
Somewhat Satisfied,226,No,No,0,0,25719,0.67,0.88,0.34,1,No,3-Feb,4,9,2,2,1,1,3749.3,37493,,,Yes
Unsatisfied,227,No,Yes,4+,15,10107,0.67,70.48,69.73,2,Yes,3-Feb,6,7,2,2,1,1,35.63,285,1,2,Yes
Somewhat Satisfied,228,No,No,0,0,11108,0.5,5.19,4.67,1,No,3-Feb,2,12,2,7,3,3,203.15,2641,3,Don't know,Yes
Unsatisfied,229,No,No,0,0,48340,3.67,0.53,0.11,7,Yes,1,0,14,11,0,0,0,48.13,722,3,2,Yes
Somewhat Satisfied,230,No,Yes,2,4,70326,1,5.56,0.79,1,No,1,0,35,3,1,1,1,241.97,8711,0,,Yes
Satisfied,231,No,No,2,4,9327,1,2.38,2.55,1,No,1,0,3,3,1,1,1,2210.5,8842,9,10,No
Satisfied,232,No,No,0,0,11034,0.67,1.34,1.21,1,No,1,0,4,2,0,0,0,202.6,1013,9,Don't know,Yes
Unsatisfied,233,No,No,0,0,11739,8,0.62,0.53,8,Yes,1,0,15,8,0,0,0,523.13,8370,2,2,No
Unsatisfied,234,No,No,3,3,1215,0,0.01,0.1,0,No,1,0,6,0,0,0,0,66.57,466,1,0,No
Somewhat Satisfied,235,No,No,1,3,72951,0.67,3.41,0.47,2,No,1,0,15,2,0,0,0,565.5,9048,6,5,Yes
Satisfied,236,No,No,0,0,28224,0.67,2.06,0.73,2,No,1,0,7,2,0,0,0,203.5,1628,10,Don't know,Yes
Satisfied,237,No,No,3,7,29211,0.33,2.26,0.77,1,No,1,0,6,1,0,0,0,11.71,82,4,7,No
Satisfied,238,No,Yes,0,0,48864,0.5,6.19,1.27,1,No,1,0,14,2,0,0,0,483.73,7256,7,8,Yes
Satisfied,239,No,No,0,0,42690,2,194.26,45.5,3,Yes,1,0,11,6,0,0,0,4883.33,58600,2,5,No
Satisfied,240,No,No,1,1,35080,1,2.36,0.67,3,No,1,0,8,4,1,1,1,289.89,2609,5,4,Yes
Satisfied,241,No,Yes,0,0,4563,0,0.37,0.8,0,No,1,0,13,0,0,0,0,613.14,8584,10,Don't know,No
Somewhat Satisfied,242,No,No,0,0,15432,0.17,3.44,2.23,1,No,1,0,5,1,0,0,0,2957.83,17747,,,No
Satisfied,243,No,No,0,0,22902,1.67,1.1,0.48,4,No,1,0,8,5,0,0,0,373.11,3358,5,8,No
Somewhat Satisfied,244,No,No,2,4,22545,0.33,1.12,0.5,1,No,1,0,9,1,0,0,0,561.9,5619,5,8,Yes
Unsatisfied,245,No,No,0,0,8013,1,0.77,0.97,3,No,1,0,11,3,0,0,0,329,3948,5,3,No
Somewhat Satisfied,246,No,No,0,0,17796,0.33,0.91,0.51,1,No,1,0,5,1,0,0,0,72.5,435,,,No
Somewhat Satisfied,247,No,No,0,0,3344,4,0.27,0.8,4,No,1,0,12,4,0,0,0,21.85,284,,,No
Unsatisfied,248,No,No,2,2,19690,0,0.02,0.01,0,No,1,0,8,0,0,0,0,27,243,7,,No
Satisfied,249,No,No,0,0,18270,1.33,1.99,1.09,2,No,1,0,8,4,0,0,0,1427.67,12849,8,5,Yes
Somewhat Satisfied,250,Yes,No,0,0,10506,0,3.46,3.3,0,No,1,0,6,0,1,1,1,75.86,531,8,5,No
Unsatisfied,251,No,No,0,0,5531,2,0.17,0.3,2,No,1,0,7,2,0,0,0,596.5,4772,2,0,Yes
Somewhat Satisfied,252,No,No,0,0,27768,0,7.55,2.72,0,No,1,0,9,0,0,0,0,747.5,7475,10,5,Yes
Unsatisfied,253,No,No,1,1,466,3,0.09,1.86,3,Yes,1,0,4,3,0,0,0,981.6,4908,0,0,No
Satisfied,254,No,No,0,0,2119,2,1.33,6.25,2,No,1,0,5,2,0,0,0,8.67,52,Don't know,Don't know,No
Unsatisfied,255,No,No,1,3,37104,0.67,1.53,0.41,2,No,1,0,14,2,2,1,1,2386.8,35802,8,3,Yes
Unsatisfied,256,No,No,0,0,147,0,0.21,13.93,0,No,1,0,2,0,0,0,0,2.33,7,8,3,Yes
Unsatisfied,257,No,Yes,0,0,12468,0.5,2.68,2.15,1,No,1,0,3,1,0,0,0,39.25,157,0,0,No
Satisfied,258,No,No,0,0,8236,0.75,1.08,1.31,2,No,1,0,5,3,1,1,1,730.33,4382,10,Don't know,No
Unsatisfied,259,No,No,1,2,19698,4,2.9,1.47,4,No,1,0,12,8,1,1,1,2466.46,32064,0,0,No
Somewhat Satisfied,260,No,No,2,4,66447,1,1.54,0.23,3,No,1,0,14,3,0,0,0,1960.27,29404,7,5,No
Satisfied,261,No,No,0,0,59226,0.67,5.54,0.94,2,No,1,0,12,2,0,0,0,2830.92,36802,8,Don't know,Yes
Somewhat Satisfied,262,No,Yes,0,0,8601,0.33,4.55,5.28,1,No,1,0,6,1,0,0,0,642.71,4499,7,Don't know,No
Satisfied,263,No,Yes,0,0,39468,1,2.2,0.56,1,No,1,0,17,3,0,0,0,369.44,6650,7,5,Yes
Satisfied,264,No,No,0,0,2765,3,0.34,1.24,3,No,1,0,5,3,0,0,0,69.5,417,10,10,No
Satisfied,265,No,No,2,5,14493,2,1,0.69,4,No,1,0,8,6,0,0,0,344.78,3103,7,6,No
Somewhat Satisfied,266,No,No,1,3,58044,0,5.34,0.92,0,No,1,0,11,0,2,1,1,2813.17,33758,7,4,No
Somewhat Satisfied,267,No,No,0,0,31206,0,0.23,0.07,0,No,1,0,11,0,0,0,0,363.42,4361,1,4,Yes
Satisfied,268,No,No,0,0,20148,1.67,2.24,1.11,3,No,1,0,7,5,0,0,0,956.63,7653,6,Don't know,No
Satisfied,269,No,No,0,0,3151,0,0,0,0,No,1,0,3,0,0,0,0,,,4,Don't know,No
Somewhat Satisfied,270,No,No,0,0,27363,3,34.23,12.51,5,No,1,0,28,9,0,0,0,63.21,1833,7,10,Yes
Somewhat Satisfied,271,Yes,No,0,0,11639,2,0.01,0.01,2,No,1,0,8,2,0,0,0,112.78,1015,7,3,Yes
Somewhat Satisfied,272,No,No,0,0,57078,0.67,2.31,0.4,2,No,1,0,11,2,0,0,0,770.08,9241,7,6,Yes
Somewhat Satisfied,273,No,No,0,0,6281,3,1.33,2.12,3,No,1,0,10,3,0,0,0,8.82,97,9,9,No
Unsatisfied,274,No,No,0,0,5367,0.67,0.54,1,1,No,1,0,8,2,0,0,0,29.89,269,1,Don't know,No
Somewhat Satisfied,275,Yes,No,0,0,6738,1,0,0,3,No,1,0,6,3,0,0,0,44.71,313,,,No
Satisfied,276,No,Yes,0,0,8696,2,7.89,9.08,4,Yes,1,0,10,4,0,0,0,177.55,1953,1,2,No
Satisfied,277,Yes,No,0,0,23708,1.25,6.17,2.6,3,Yes,1,0,10,5,0,0,0,26.09,287,8,Don't know,Yes
Satisfied,278,Yes,No,0,0,14607,1.67,20.86,14.28,2,Yes,1,0,10,5,0,0,0,54.91,604,5,9,No
Unsatisfied,279,No,No,0,0,10888,9,17,15.61,9,Yes,1,0,16,9,0,0,0,33.53,570,0,10,No
Somewhat Satisfied,280,Yes,No,0,0,212,1,4.15,194.67,2,No,1,0,2,2,0,0,0,8,24,Don't know,Don't know,No
Unsatisfied,281,No,No,0,0,18315,0.33,3.17,1.73,1,No,1,0,10,1,0,0,0,230.73,2538,4,2,Yes
Somewhat Satisfied,282,No,No,0,0,15428,1.75,2.19,1.42,5,Yes,1,0,16,7,0,0,0,1431.12,24329,5,3,No
Satisfied,283,No,No,0,0,12360,2.67,6.72,5.44,5,No,1,0,13,8,1,1,1,406.21,5687,3,Don't know,Yes
Satisfied,284,No,No,0,0,66788,0.75,8,1.2,2,No,1,0,14,3,0,0,0,191.87,2878,3,0,No
Satisfied,285,Yes,No,3,9,17010,1.67,0.17,0.1,4,No,1,0,10,5,0,0,0,22.45,247,5,4,No
Unsatisfied,286,No,No,0,0,19200,2,3.53,1.84,5,Yes,1,0,12,6,2,1,1,244.54,3179,5,0,Yes
Unsatisfied,287,No,No,1,3,45579,1.33,7.36,1.61,3,Yes,1,0,16,4,3,2,2,157.06,2670,9,5,No
Somewhat Satisfied,288,Yes,No,0,0,3747,1.67,1.15,3.08,3,No,1,0,7,5,0,0,0,629.25,5034,,,No
Satisfied,289,No,No,0,0,12726,2,0.68,0.53,5,No,1,0,8,6,0,0,0,114.44,1030,8,8,No
Unsatisfied,290,No,No,0,0,5563,5,0.12,0.21,5,No,1,0,20,5,0,0,0,16.71,351,0,0,No
Unsatisfied,291,Yes,No,0,0,7398,0.67,0.75,1.01,2,No,1,0,4,2,0,0,0,14.4,72,0,2,No
Somewhat Satisfied,292,No,No,0,0,1469,0.5,0,0,1,No,1,0,1,2,0,0,0,500,1000,,,No
Somewhat Satisfied,293,No,No,0,0,36684,1,7.48,2.04,2,No,1,0,12,3,0,0,0,89.31,1161,9,5,No
Unsatisfied,294,No,No,0,0,2687,2,7.76,28.87,2,No,1,0,10,2,0,0,0,43.64,480,3,3,Yes
Somewhat Satisfied,295,No,No,0,0,27787,2.33,42.39,15.25,4,Yes,1,0,12,7,3,3,3,74.38,967,7,Don't know,No
Somewhat Satisfied,296,No,No,0,0,13443,3.33,9.94,7.39,8,No,1,0,18,10,0,0,0,17.53,333,6,0,Yes
Satisfied,297,No,No,0,0,5757,0.67,0.51,0.89,2,No,1,0,9,2,0,0,0,308.8,3088,10,10,No
Somewhat Satisfied,298,No,No,1,1,6759,5,0.91,1.34,5,No,1,0,14,5,0,0,0,,,6,3,Yes
Somewhat Satisfied,299,No,No,0,0,6500,2,38.14,58.67,4,Yes,1,0,8,4,0,0,0,222.89,2006,,,No
Somewhat Satisfied,300,No,No,0,0,35436,0.33,1.07,0.3,1,No,1,0,7,1,0,0,0,489.5,3916,4,4,No
Satisfied,301,No,No,0,0,1566,2,0,0,2,No,1,0,11,2,0,0,0,4,48,8,8,Yes
Satisfied,302,No,No,0,0,22881,0.67,5.8,2.54,2,No,1,0,4,2,0,0,0,101.6,508,8,Don't know,Yes
Unsatisfied,303,Yes,No,0,0,11529,1.67,26.59,23.07,2,No,1,0,10,5,0,0,0,997.45,10972,5,5,No
Unsatisfied,304,No,No,0,0,10617,1.33,0.15,0.14,4,No,1,0,10,4,0,0,0,4550.09,50051,10,10,No
Unsatisfied,305,No,No,0,0,105535,1.4,84.28,7.99,4,No,1,0,16,7,0,0,0,216.53,3681,2,Don't know,Yes
Somewhat Satisfied,306,No,No,0,0,44166,1,20.72,4.69,3,No,1,0,12,3,0,0,0,47,611,,,No
Unsatisfied,307,No,Yes,1,3,25228,2.75,542.05,214.85,7,Yes,1,0,15,11,3,1,1,163.94,2623,5,2,No
Satisfied,308,No,No,0,0,36015,0.67,5.16,1.43,2,No,1,0,15,2,0,0,0,33.06,529,6,9,Yes
Satisfied,309,Yes,No,0,0,7434,0.33,0.57,0.76,1,No,1,0,6,1,0,0,0,87.86,615,9,9,No
Somewhat Satisfied,310,No,No,0,0,25848,2,2.97,1.15,4,Yes,1,0,8,6,0,0,0,59.78,538,7,Don't know,Yes
Somewhat Satisfied,311,No,No,0,0,14049,0.33,0.2,0.14,1,No,1,0,9,1,0,0,0,394.8,3948,,,Yes
Somewhat Satisfied,312,No,No,0,0,27090,2.67,41.27,15.23,4,No,1,0,15,8,0,0,0,186.19,2979,8,7,No
Somewhat Satisfied,313,Yes,No,0,0,30003,1.67,30.48,10.16,5,No,1,0,14,5,0,0,0,580.6,8709,,,No
Satisfied,314,No,No,0,0,4248,0.67,0.15,0.36,1,Yes,1,0,5,2,0,0,0,52.5,315,9,9,No
Satisfied,315,No,No,0,0,8580,0.67,0,0,1,No,1,0,7,2,0,0,0,920,7360,8,Don't know,No
Unsatisfied,316,Yes,No,0,0,557,4,10,179.2,4,Yes,1,0,12,4,0,0,0,,,2,5,Yes
Satisfied,317,No,Yes,0,0,5745,0.67,0.1,0.17,1,No,1,0,7,2,0,0,0,32.75,262,5,,Yes
Satisfied,318,No,No,0,0,11991,2.33,3.4,2.84,7,Yes,1,0,11,7,0,0,0,76.08,913,10,6,No
Unsatisfied,319,No,No,1,2,18075,3,16.87,9.34,6,No,1,0,12,9,1,1,1,1724.38,22417,1,0,No
Somewhat Satisfied,320,No,No,0,0,10599,0.67,11.38,10.73,2,No,1,0,9,2,0,0,0,61.3,613,6,5,Yes
Unsatisfied,321,No,No,0,0,53076,5,18.39,3.46,7,Yes,1,0,13,15,0,0,0,98.93,1385,Don't know,7,No
Somewhat Satisfied,322,No,No,0,0,17942,3,3.14,1.75,5,No,1,0,9,6,0,0,0,611.5,6115,7,Don't know,No
Somewhat Satisfied,323,No,No,0,0,9420,1,4.93,5.24,2,No,1,0,7,3,0,0,0,33.13,265,,,No
Somewhat Satisfied,324,Yes,No,0,0,27506,3.5,1.31,0.48,7,Yes,1,0,9,7,0,0,0,76,760,0,0,No
Somewhat Satisfied,325,No,No,0,0,26022,6,9.47,3.64,9,Yes,1,0,17,18,0,0,0,692.28,12461,7,9,Yes
Somewhat Satisfied,326,Yes,No,0,0,37890,0.67,6.55,1.73,2,No,1,0,9,2,0,0,0,85.7,857,,,No
Unsatisfied,327,No,No,0,0,1998,6,0.27,1.35,6,Yes,1,0,10,6,0,0,0,204.91,2254,0,0,Yes
Unsatisfied,328,No,No,0,0,59690,3.5,65.39,10.95,7,Yes,1,0,35,7,0,0,0,87.89,3164,7,8,Yes
Satisfied,329,No,No,0,0,468,0.33,0,0,1,No,1,0,3,1,0,0,0,12.5,50,0,Don't know,No
Unsatisfied,330,Yes,No,0,0,3390,2.5,0.98,2.9,4,Yes,1,0,10,5,0,0,0,70.18,772,4,5,No
Somewhat Satisfied,331,No,Yes,0,0,8982,0.67,1314.56,1463.39,2,No,1,0,25,2,1,1,1,116.35,3025,7,8,Yes
Somewhat Satisfied,332,No,Yes,0,0,21660,2,7.43,3.43,3,No,1,0,8,4,0,0,0,5888.22,52994,5,5,No
Unsatisfied,333,Yes,No,0,0,12813,1.33,0,0,4,Yes,1,0,8,4,0,0,0,41.67,375,6,8,No
Somewhat Satisfied,334,No,No,0,0,32124,1.67,0.42,0.13,2,No,1,0,9,5,0,0,0,203.9,2039,,,No
Unsatisfied,335,No,No,0,0,62124,2.5,0.83,0.13,9,No,1,0,26,10,0,0,0,1445.22,39021,8,8,Yes
Satisfied,336,No,No,0,0,12462,1.67,0,0,2,No,1,0,9,5,0,0,0,2144.6,21446,10,8,Yes
